Property_ID,Area,Bedrooms,Bathrooms,Age,Location,Property_Type,Price,Price_Lakhs,Price_Per_Sqft,Age_Bin
PROP0001,3712,4,3,36,Rural,House,22260000,222.6,5996.767241379311,Old
PROP0002,1591,4,1,35,Suburb,House,16057500,160.575,10092.708988057826,Old
PROP0003,1646,4,3,20,Rural,Villa,12730000,127.3,7733.900364520048,Mid
PROP0004,4814,1,2,13,City Center,Villa,50840000,508.4,10560.864146240134,Young
PROP0005,800,4,2,38,Suburb,Apartment,10650000,106.5,13312.5,Old
PROP0006,4318,3,1,6,Rural,House,24790000,247.9,5741.083835108847,Young
PROP0007,2705,1,3,13,Rural,House,15375000,153.75,5683.918669131239,Young
PROP0008,3128,5,3,19,City Center,Villa,42380000,423.8,13548.593350383631,Mid
PROP0009,4824,5,2,23,Suburb,Villa,43455000,434.55,9008.084577114429,Mid
PROP0010,2300,1,1,12,City Center,House,24800000,248.0,10782.608695652174,Young
PROP0011,4977,1,3,10,Rural,Villa,26885000,268.85,5401.8485031143255,Young
PROP0012,1103,5,1,46,City Center,House,17430000,174.3,15802.357207615594,Old
PROP0013,4522,4,1,12,City Center,Apartment,53020000,530.2,11724.900486510394,Young
PROP0014,1815,3,1,20,Suburb,House,17362500,173.625,9566.11570247934,Mid
PROP0015,810,1,2,6,Suburb,House,8625000,86.25,10648.148148148148,Young
PROP0016,4543,1,1,14,Suburb,Villa,35272500,352.725,7764.142637023993,Young
PROP0017,4958,1,2,5,Rural,Villa,26540000,265.4,5352.964905203711,New
PROP0018,3392,4,1,9,Suburb,Apartment,31515000,315.15,9290.978773584906,Young
PROP0019,1128,5,2,33,Suburb,Apartment,14985000,149.85,13284.574468085106,Old
PROP0020,4012,2,2,34,Rural,Apartment,21360000,213.6,5324.027916251246,Old
PROP0021,2684,1,1,6,Rural,Apartment,14620000,146.2,5447.093889716841,Young
PROP0022,1721,3,1,26,Rural,House,10805000,108.05,6278.326554328879,Mid
PROP0023,2463,4,1,1,Suburb,Villa,25147500,251.475,10210.109622411694,New
PROP0024,4037,1,2,1,City Center,Apartment,44270000,442.7,10966.0639088432,New
PROP0025,1942,4,2,34,Suburb,Villa,19515000,195.15,10048.918640576725,Old
PROP0026,650,2,2,37,City Center,House,8800000,88.0,13538.461538461539,Old
PROP0027,1619,3,3,7,City Center,Villa,24490000,244.9,15126.621371216801,Young
PROP0028,2176,5,1,20,Suburb,House,23070000,230.7,10602.02205882353,Mid
PROP0029,4999,5,1,45,Suburb,Villa,42367500,423.675,8475.195039007802,Old
PROP0030,2371,5,2,43,Rural,Apartment,15705000,157.05,6623.787431463517,Old
PROP0031,4061,4,2,3,Suburb,Apartment,37732500,377.325,9291.430682098005,New
PROP0032,2618,1,3,23,City Center,Villa,28880000,288.8,11031.321619556913,Mid
PROP0033,2667,4,1,37,Rural,Apartment,15985000,159.85,5993.625796775403,Old
PROP0034,1282,2,2,8,Rural,Apartment,9010000,90.1,7028.08112324493,Young
PROP0035,2169,2,3,41,Rural,House,12295000,122.95,5668.510834485938,Old
PROP0036,4919,4,2,45,City Center,Villa,54690000,546.9,11118.113437690588,Old
PROP0037,1843,3,3,25,Suburb,Villa,18697500,186.975,10145.14378730331,Mid
PROP0038,3449,3,3,12,Rural,House,21145000,211.45,6130.762539866628,Young
PROP0039,628,4,1,6,Suburb,Villa,11010000,110.1,17531.84713375796,Young
PROP0040,3163,3,2,14,Suburb,House,28672500,286.725,9064.96996522289,Young
PROP0041,615,4,3,6,Suburb,Villa,12412500,124.125,20182.926829268294,Young
