order_id,customer_id,product,category,quantity,unit_price,discount,revenue,order_date,month,quarter
ORD00001,C0116,Webcam,Accessories,4,113.25,0.06,425.82,2023-06-28,June,Q2
ORD00002,C0302,Keyboard,Accessories,5,66.65,0.01,329.92,2023-12-08,December,Q4
ORD00003,C0492,Smartphone,Electronics,2,868.55,0.13,1511.28,2023-10-30,October,Q4
ORD00004,C0136,Smartphone,Electronics,2,394.23,0.11,701.73,2023-11-28,November,Q4
ORD00005,C0081,Laptop,Electronics,5,1208.52,0.09,5498.77,2023-02-07,February,Q1
ORD00006,C0017,Tablet,Electronics,3,315.24,0.14,813.32,2023-08-27,August,Q3
ORD00007,C0233,Smartphone,Electronics,3,712.43,0.16,1795.32,2023-06-18,June,Q2
ORD00008,C0321,Speaker,Audio,2,258.52,0.09,470.51,2023-12-09,December,Q4
ORD00009,C0279,Tablet,Electronics,3,459.05,0.17,1143.03,2023-11-10,November,Q4
ORD00010,C0037,Laptop,Electronics,3,965.92,0.12,2550.03,2023-11-02,November,Q4
ORD00011,C0423,Speaker,Audio,4,328.72,0.02,1288.58,2023-01-30,January,Q1
ORD00012,C0353,Smartwatch,Wearables,3,324.93,0.1,877.31,2023-07-09,July,Q3
ORD00013,C0253,Mouse,Accessories,1,24.83,0.18,20.36,2023-12-23,December,Q4
ORD00014,C0377,Monitor,Electronics,1,501.86,0.02,491.82,2023-01-25,January,Q1
ORD00015,C0493,Speaker,Audio,1,238.52,0.2,190.82,2023-04-22,April,Q2
ORD00016,C0345,Smartwatch,Wearables,2,294.06,0.09,535.19,2023-07-25,July,Q3
ORD00017,C0334,Mouse,Accessories,2,74.96,0.2,119.94,2023-07-04,July,Q3
ORD00018,C0224,Mouse,Accessories,4,78.14,0.07,290.68,2023-02-16,February,Q1
ORD00019,C0171,Monitor,Electronics,2,535.07,0.07,995.23,2023-08-16,August,Q3
ORD00020,C0356,Mouse,Accessories,4,37.29,0.16,125.29,2023-02-08,February,Q1
ORD00021,C0282,Laptop,Electronics,3,1254.83,0.05,3576.27,2023-01-16,January,Q1
ORD00022,C0060,Keyboard,Accessories,1,133.79,0.13,116.4,2023-01-22,January,Q1
ORD00023,C0278,Mouse,Accessories,2,44.79,0.1,80.62,2023-08-01,August,Q3
ORD00024,C0319,Mouse,Accessories,1,57.52,0.04,55.22,2023-11-06,November,Q4
ORD00025,C0282,Headphones,Accessories,4,235.53,0.18,772.54,2023-05-29,May,Q2
ORD00026,C0249,Smartphone,Electronics,5,317.32,0.16,1332.74,2023-08-29,August,Q3
ORD00027,C0364,Headphones,Accessories,1,112.15,0.11,99.81,2023-09-29,September,Q3
ORD00028,C0048,Tablet,Electronics,1,596.9,0.09,543.18,2023-02-28,February,Q1
ORD00029,C0061,Headphones,Accessories,3,149.68,0.1,404.14,2023-10-14,October,Q4
ORD00030,C0140,Keyboard,Accessories,4,130.17,0.05,494.65,2023-07-21,July,Q3
ORD00031,C0283,Headphones,Accessories,5,126.72,0.1,570.24,2023-02-01,February,Q1
ORD00032,C0451,Headphones,Accessories,3,222.81,0.15,568.17,2023-06-11,June,Q2
ORD00033,C0438,Keyboard,Accessories,5,70.79,0.05,336.25,2023-09-12,September,Q3
ORD00034,C0002,Smartwatch,Wearables,5,331.51,0.12,1458.64,2023-09-11,September,Q3
ORD00035,C0338,Mouse,Accessories,4,71.92,0.11,256.04,2023-01-09,January,Q1
ORD00036,C0177,Monitor,Electronics,5,475.96,0.08,2189.42,2023-05-19,May,Q2
ORD00037,C0478,Monitor,Electronics,2,634.8,0.11,1129.94,2023-01-10,January,Q1
ORD00038,C0120,Keyboard,Accessories,4,35.24,0.14,121.23,2023-08-02,August,Q3
ORD00039,C0416,Keyboard,Accessories,2,76.33,0.1,137.39,2023-09-30,September,Q3
ORD00040,C0019,Headphones,Accessories,5,150.46,0.07,699.64,2023-11-20,November,Q4
ORD00041,C0052,Mouse,Accessories,4,25.98,0.0,103.92,2023-02-17,February,Q1
ORD00042,C0074,Keyboard,Accessories,2,134.51,0.01,266.33,2023-04-21,April,Q2
ORD00043,C0401,Smartwatch,Wearables,4,234.64,0.13,816.55,2023-06-02,June,Q2
ORD00044,C0437,Monitor,Electronics,5,626.17,0.08,2880.38,2023-05-03,May,Q2
